RUN	scala.simulations.ObtenerZorros	obtenerzorros	1683839997362	 	3.3.1
USER	Usuario Estandar	115	START	1683839998829	1683839998829
USER	Usuario Estandar	116	START	1683839998829	1683839998829
USER	Usuario Estandar	117	START	1683839998829	1683839998829
USER	Usuario Estandar	119	START	1683839998829	1683839998829
USER	Usuario Estandar	120	START	1683839998829	1683839998829
USER	Usuario Estandar	118	START	1683839998829	1683839998829
USER	Usuario Estandar	122	START	1683839998829	1683839998829
USER	Usuario Estandar	121	START	1683839998829	1683839998829
USER	Usuario Estandar	123	START	1683839998829	1683839998829
USER	Usuario Estandar	124	START	1683839998829	1683839998829
USER	Usuario Estandar	37	START	1683839998825	1683839998825
USER	Usuario Estandar	125	START	1683839998829	1683839998829
USER	Usuario Estandar	126	START	1683839998829	1683839998829
USER	Usuario Estandar	127	START	1683839998829	1683839998829
USER	Usuario Estandar	128	START	1683839998829	1683839998829
USER	Usuario Estandar	130	START	1683839998829	1683839998829
USER	Usuario Estandar	129	START	1683839998829	1683839998829
USER	Usuario Estandar	131	START	1683839998830	1683839998830
USER	Usuario Estandar	132	START	1683839998830	1683839998830
USER	Usuario Estandar	133	START	1683839998830	1683839998830
USER	Usuario Estandar	135	START	1683839998830	1683839998830
USER	Usuario Estandar	136	START	1683839998830	1683839998830
USER	Usuario Estandar	134	START	1683839998830	1683839998830
USER	Usuario Estandar	137	START	1683839998830	1683839998830
USER	Usuario Estandar	138	START	1683839998830	1683839998830
USER	Usuario Estandar	139	START	1683839998830	1683839998830
USER	Usuario Estandar	140	START	1683839998830	1683839998830
USER	Usuario Estandar	141	START	1683839998830	1683839998830
USER	Usuario Estandar	143	START	1683839998830	1683839998830
USER	Usuario Estandar	142	START	1683839998830	1683839998830
USER	Usuario Estandar	144	START	1683839998830	1683839998830
USER	Usuario Estandar	145	START	1683839998830	1683839998830
USER	Usuario Estandar	147	START	1683839998830	1683839998830
USER	Usuario Estandar	146	START	1683839998830	1683839998830
USER	Usuario Estandar	148	START	1683839998830	1683839998830
USER	Usuario Estandar	149	START	1683839998830	1683839998830
USER	Usuario Estandar	150	START	1683839998831	1683839998831
USER	Usuario Estandar	151	START	1683839998831	1683839998831
USER	Usuario Estandar	152	START	1683839998831	1683839998831
USER	Usuario Estandar	153	START	1683839998831	1683839998831
USER	Usuario Estandar	154	START	1683839998831	1683839998831
USER	Usuario Estandar	155	START	1683839998831	1683839998831
USER	Usuario Estandar	157	START	1683839998831	1683839998831
USER	Usuario Estandar	156	START	1683839998831	1683839998831
USER	Usuario Estandar	158	START	1683839998831	1683839998831
USER	Usuario Estandar	159	START	1683839998831	1683839998831
USER	Usuario Estandar	28	START	1683839998824	1683839998824
USER	Usuario Estandar	160	START	1683839998831	1683839998831
USER	Usuario Estandar	162	START	1683839998831	1683839998831
USER	Usuario Estandar	164	START	1683839998831	1683839998831
USER	Usuario Estandar	163	START	1683839998831	1683839998831
USER	Usuario Estandar	165	START	1683839998831	1683839998831
USER	Usuario Estandar	167	START	1683839998831	1683839998831
USER	Usuario Estandar	166	START	1683839998831	1683839998831
USER	Usuario Estandar	168	START	1683839998831	1683839998831
USER	Usuario Estandar	169	START	1683839998831	1683839998831
USER	Usuario Estandar	171	START	1683839998831	1683839998831
USER	Usuario Estandar	173	START	1683839998831	1683839998831
USER	Usuario Estandar	172	START	1683839998831	1683839998831
USER	Usuario Estandar	170	START	1683839998831	1683839998831
USER	Usuario Estandar	174	START	1683839998831	1683839998831
USER	Usuario Estandar	175	START	1683839998831	1683839998831
USER	Usuario Estandar	176	START	1683839998832	1683839998832
USER	Usuario Estandar	177	START	1683839998832	1683839998832
USER	Usuario Estandar	178	START	1683839998832	1683839998832
USER	Usuario Estandar	181	START	1683839998832	1683839998832
USER	Usuario Estandar	179	START	1683839998832	1683839998832
USER	Usuario Estandar	180	START	1683839998832	1683839998832
USER	Usuario Estandar	182	START	1683839998832	1683839998832
USER	Usuario Estandar	183	START	1683839998832	1683839998832
USER	Usuario Estandar	185	START	1683839998832	1683839998832
USER	Usuario Estandar	184	START	1683839998832	1683839998832
USER	Usuario Estandar	186	START	1683839998832	1683839998832
USER	Usuario Estandar	187	START	1683839998832	1683839998832
USER	Usuario Estandar	188	START	1683839998832	1683839998832
USER	Usuario Estandar	189	START	1683839998832	1683839998832
USER	Usuario Estandar	190	START	1683839998832	1683839998832
USER	Usuario Estandar	192	START	1683839998832	1683839998832
USER	Usuario Estandar	193	START	1683839998832	1683839998832
USER	Usuario Estandar	191	START	1683839998832	1683839998832
USER	Usuario Estandar	194	START	1683839998832	1683839998832
USER	Usuario Estandar	197	START	1683839998832	1683839998832
USER	Usuario Estandar	196	START	1683839998832	1683839998832
USER	Usuario Estandar	198	START	1683839998832	1683839998832
USER	Usuario Estandar	195	START	1683839998832	1683839998832
USER	Usuario Estandar	200	START	1683839998833	1683839998833
USER	Usuario Estandar	199	START	1683839998833	1683839998833
USER	Usuario Estandar	202	START	1683839998833	1683839998833
USER	Usuario Estandar	203	START	1683839998833	1683839998833
USER	Usuario Estandar	204	START	1683839998833	1683839998833
USER	Usuario Estandar	201	START	1683839998833	1683839998833
USER	Usuario Estandar	205	START	1683839998833	1683839998833
USER	Usuario Estandar	208	START	1683839998833	1683839998833
USER	Usuario Estandar	207	START	1683839998833	1683839998833
USER	Usuario Estandar	206	START	1683839998833	1683839998833
USER	Usuario Estandar	209	START	1683839998833	1683839998833
USER	Usuario Estandar	210	START	1683839998833	1683839998833
USER	Usuario Estandar	211	START	1683839998833	1683839998833
USER	Usuario Estandar	213	START	1683839998833	1683839998833
USER	Usuario Estandar	212	START	1683839998833	1683839998833
USER	Usuario Estandar	214	START	1683839998833	1683839998833
USER	Usuario Estandar	215	START	1683839998833	1683839998833
USER	Usuario Estandar	216	START	1683839998833	1683839998833
USER	Usuario Estandar	217	START	1683839998833	1683839998833
USER	Usuario Estandar	219	START	1683839998833	1683839998833
USER	Usuario Estandar	218	START	1683839998833	1683839998833
USER	Usuario Estandar	221	START	1683839998833	1683839998833
USER	Usuario Estandar	220	START	1683839998833	1683839998833
USER	Usuario Estandar	222	START	1683839998834	1683839998834
USER	Usuario Estandar	223	START	1683839998834	1683839998834
USER	Usuario Estandar	224	START	1683839998834	1683839998834
USER	Usuario Estandar	225	START	1683839998834	1683839998834
USER	Usuario Estandar	226	START	1683839998834	1683839998834
USER	Usuario Estandar	227	START	1683839998834	1683839998834
USER	Usuario Estandar	228	START	1683839998834	1683839998834
USER	Usuario Estandar	229	START	1683839998834	1683839998834
USER	Usuario Estandar	230	START	1683839998834	1683839998834
USER	Usuario Estandar	231	START	1683839998834	1683839998834
USER	Usuario Estandar	233	START	1683839998834	1683839998834
USER	Usuario Estandar	232	START	1683839998834	1683839998834
USER	Usuario Estandar	235	START	1683839998834	1683839998834
USER	Usuario Estandar	234	START	1683839998834	1683839998834
USER	Usuario Estandar	236	START	1683839998834	1683839998834
USER	Usuario Estandar	237	START	1683839998834	1683839998834
USER	Usuario Estandar	239	START	1683839998834	1683839998834
USER	Usuario Estandar	238	START	1683839998834	1683839998834
USER	Usuario Estandar	241	START	1683839998834	1683839998834
USER	Usuario Estandar	240	START	1683839998834	1683839998834
USER	Usuario Estandar	243	START	1683839998835	1683839998835
USER	Usuario Estandar	242	START	1683839998835	1683839998835
USER	Usuario Estandar	245	START	1683839998835	1683839998835
USER	Usuario Estandar	244	START	1683839998835	1683839998835
USER	Usuario Estandar	247	START	1683839998835	1683839998835
USER	Usuario Estandar	246	START	1683839998835	1683839998835
USER	Usuario Estandar	248	START	1683839998835	1683839998835
USER	Usuario Estandar	249	START	1683839998835	1683839998835
USER	Usuario Estandar	250	START	1683839998835	1683839998835
USER	Usuario Estandar	251	START	1683839998835	1683839998835
USER	Usuario Estandar	253	START	1683839998835	1683839998835
USER	Usuario Estandar	254	START	1683839998835	1683839998835
USER	Usuario Estandar	255	START	1683839998835	1683839998835
USER	Usuario Estandar	257	START	1683839998835	1683839998835
USER	Usuario Estandar	256	START	1683839998835	1683839998835
USER	Usuario Estandar	9	START	1683839998726	1683839998726
USER	Usuario Estandar	258	START	1683839998835	1683839998835
USER	Usuario Estandar	259	START	1683839998835	1683839998835
USER	Usuario Estandar	262	START	1683839998835	1683839998835
USER	Usuario Estandar	260	START	1683839998835	1683839998835
USER	Usuario Estandar	261	START	1683839998835	1683839998835
USER	Usuario Estandar	264	START	1683839998835	1683839998835
USER	Usuario Estandar	263	START	1683839998835	1683839998835
USER	Usuario Estandar	265	START	1683839998835	1683839998835
USER	Usuario Estandar	267	START	1683839998836	1683839998836
USER	Usuario Estandar	266	START	1683839998836	1683839998836
USER	Usuario Estandar	268	START	1683839998836	1683839998836
USER	Usuario Estandar	270	START	1683839998836	1683839998836
USER	Usuario Estandar	269	START	1683839998836	1683839998836
USER	Usuario Estandar	271	START	1683839998836	1683839998836
USER	Usuario Estandar	272	START	1683839998836	1683839998836
USER	Usuario Estandar	273	START	1683839998836	1683839998836
USER	Usuario Estandar	275	START	1683839998836	1683839998836
USER	Usuario Estandar	274	START	1683839998836	1683839998836
USER	Usuario Estandar	276	START	1683839998836	1683839998836
USER	Usuario Estandar	277	START	1683839998836	1683839998836
USER	Usuario Estandar	279	START	1683839998836	1683839998836
USER	Usuario Estandar	280	START	1683839998836	1683839998836
USER	Usuario Estandar	278	START	1683839998836	1683839998836
USER	Usuario Estandar	281	START	1683839998836	1683839998836
USER	Usuario Estandar	283	START	1683839998836	1683839998836
USER	Usuario Estandar	282	START	1683839998836	1683839998836
USER	Usuario Estandar	284	START	1683839998836	1683839998836
USER	Usuario Estandar	285	START	1683839998836	1683839998836
USER	Usuario Estandar	287	START	1683839998837	1683839998837
USER	Usuario Estandar	286	START	1683839998837	1683839998837
USER	Usuario Estandar	288	START	1683839998837	1683839998837
USER	Usuario Estandar	289	START	1683839998837	1683839998837
USER	Usuario Estandar	291	START	1683839998837	1683839998837
USER	Usuario Estandar	290	START	1683839998837	1683839998837
USER	Usuario Estandar	292	START	1683839998837	1683839998837
USER	Usuario Estandar	293	START	1683839998837	1683839998837
USER	Usuario Estandar	295	START	1683839998837	1683839998837
USER	Usuario Estandar	294	START	1683839998837	1683839998837
USER	Usuario Estandar	297	START	1683839998837	1683839998837
USER	Usuario Estandar	296	START	1683839998837	1683839998837
USER	Usuario Estandar	298	START	1683839998837	1683839998837
USER	Usuario Estandar	299	START	1683839998837	1683839998837
USER	Usuario Estandar	301	START	1683839998837	1683839998837
USER	Usuario Estandar	300	START	1683839998837	1683839998837
USER	Usuario Estandar	302	START	1683839998837	1683839998837
USER	Usuario Estandar	303	START	1683839998837	1683839998837
USER	Usuario Estandar	305	START	1683839998837	1683839998837
USER	Usuario Estandar	304	START	1683839998837	1683839998837
USER	Usuario Estandar	306	START	1683839998837	1683839998837
USER	Usuario Estandar	307	START	1683839998837	1683839998837
USER	Usuario Estandar	309	START	1683839998837	1683839998837
USER	Usuario Estandar	308	START	1683839998837	1683839998837
USER	Usuario Estandar	310	START	1683839998838	1683839998838
USER	Usuario Estandar	311	START	1683839998838	1683839998838
USER	Usuario Estandar	312	START	1683839998838	1683839998838
USER	Usuario Estandar	313	START	1683839998838	1683839998838
USER	Usuario Estandar	315	START	1683839998838	1683839998838
USER	Usuario Estandar	314	START	1683839998838	1683839998838
USER	Usuario Estandar	316	START	1683839998838	1683839998838
USER	Usuario Estandar	317	START	1683839998838	1683839998838
USER	Usuario Estandar	319	START	1683839998838	1683839998838
USER	Usuario Estandar	318	START	1683839998838	1683839998838
USER	Usuario Estandar	321	START	1683839998838	1683839998838
USER	Usuario Estandar	320	START	1683839998838	1683839998838
USER	Usuario Estandar	323	START	1683839998838	1683839998838
USER	Usuario Estandar	322	START	1683839998838	1683839998838
USER	Usuario Estandar	324	START	1683839998838	1683839998838
USER	Usuario Estandar	325	START	1683839998838	1683839998838
USER	Usuario Estandar	327	START	1683839998838	1683839998838
USER	Usuario Estandar	326	START	1683839998838	1683839998838
USER	Usuario Estandar	328	START	1683839998838	1683839998838
USER	Usuario Estandar	329	START	1683839998838	1683839998838
USER	Usuario Estandar	331	START	1683839998838	1683839998838
USER	Usuario Estandar	330	START	1683839998838	1683839998838
USER	Usuario Estandar	332	START	1683839998838	1683839998838
USER	Usuario Estandar	333	START	1683839998839	1683839998839
USER	Usuario Estandar	335	START	1683839998839	1683839998839
USER	Usuario Estandar	334	START	1683839998839	1683839998839
USER	Usuario Estandar	337	START	1683839998839	1683839998839
USER	Usuario Estandar	338	START	1683839998839	1683839998839
USER	Usuario Estandar	339	START	1683839998839	1683839998839
USER	Usuario Estandar	336	START	1683839998839	1683839998839
USER	Usuario Estandar	340	START	1683839998839	1683839998839
USER	Usuario Estandar	341	START	1683839998839	1683839998839
USER	Usuario Estandar	342	START	1683839998839	1683839998839
USER	Usuario Estandar	343	START	1683839998839	1683839998839
USER	Usuario Estandar	344	START	1683839998839	1683839998839
USER	Usuario Estandar	346	START	1683839998839	1683839998839
USER	Usuario Estandar	345	START	1683839998839	1683839998839
USER	Usuario Estandar	347	START	1683839998839	1683839998839
USER	Usuario Estandar	348	START	1683839998839	1683839998839
USER	Usuario Estandar	349	START	1683839998839	1683839998839
USER	Usuario Estandar	351	START	1683839998839	1683839998839
USER	Usuario Estandar	350	START	1683839998839	1683839998839
USER	Usuario Estandar	352	START	1683839998839	1683839998839
USER	Usuario Estandar	354	START	1683839998840	1683839998840
USER	Usuario Estandar	353	START	1683839998840	1683839998840
USER	Usuario Estandar	355	START	1683839998840	1683839998840
USER	Usuario Estandar	356	START	1683839998840	1683839998840
USER	Usuario Estandar	358	START	1683839998840	1683839998840
USER	Usuario Estandar	359	START	1683839998840	1683839998840
USER	Usuario Estandar	360	START	1683839998840	1683839998840
USER	Usuario Estandar	22	START	1683839998734	1683839998734
USER	Usuario Estandar	361	START	1683839998840	1683839998840
USER	Usuario Estandar	362	START	1683839998840	1683839998840
USER	Usuario Estandar	363	START	1683839998840	1683839998840
USER	Usuario Estandar	365	START	1683839998840	1683839998840
USER	Usuario Estandar	366	START	1683839998840	1683839998840
USER	Usuario Estandar	364	START	1683839998840	1683839998840
USER	Usuario Estandar	367	START	1683839998840	1683839998840
USER	Usuario Estandar	368	START	1683839998840	1683839998840
USER	Usuario Estandar	371	START	1683839998840	1683839998840
USER	Usuario Estandar	370	START	1683839998840	1683839998840
USER	Usuario Estandar	369	START	1683839998840	1683839998840
USER	Usuario Estandar	373	START	1683839998840	1683839998840
USER	Usuario Estandar	372	START	1683839998840	1683839998840
USER	Usuario Estandar	374	START	1683839998840	1683839998840
USER	Usuario Estandar	375	START	1683839998840	1683839998840
USER	Usuario Estandar	376	START	1683839998841	1683839998841
USER	Usuario Estandar	377	START	1683839998841	1683839998841
USER	Usuario Estandar	379	START	1683839998841	1683839998841
USER	Usuario Estandar	378	START	1683839998841	1683839998841
USER	Usuario Estandar	380	START	1683839998841	1683839998841
USER	Usuario Estandar	381	START	1683839998841	1683839998841
USER	Usuario Estandar	382	START	1683839998841	1683839998841
USER	Usuario Estandar	383	START	1683839998841	1683839998841
USER	Usuario Estandar	384	START	1683839998841	1683839998841
USER	Usuario Estandar	385	START	1683839998841	1683839998841
USER	Usuario Estandar	386	START	1683839998841	1683839998841
USER	Usuario Estandar	387	START	1683839998841	1683839998841
USER	Usuario Estandar	389	START	1683839998841	1683839998841
USER	Usuario Estandar	391	START	1683839998841	1683839998841
USER	Usuario Estandar	388	START	1683839998841	1683839998841
USER	Usuario Estandar	392	START	1683839998841	1683839998841
USER	Usuario Estandar	390	START	1683839998841	1683839998841
USER	Usuario Estandar	393	START	1683839998841	1683839998841
USER	Usuario Estandar	395	START	1683839998841	1683839998841
USER	Usuario Estandar	394	START	1683839998841	1683839998841
USER	Usuario Estandar	396	START	1683839998841	1683839998841
USER	Usuario Estandar	397	START	1683839998842	1683839998842
USER	Usuario Estandar	398	START	1683839998842	1683839998842
USER	Usuario Estandar	400	START	1683839998842	1683839998842
USER	Usuario Estandar	399	START	1683839998842	1683839998842
USER	Usuario Estandar	401	START	1683839998842	1683839998842
USER	Usuario Estandar	402	START	1683839998842	1683839998842
USER	Usuario Estandar	403	START	1683839998842	1683839998842
USER	Usuario Estandar	404	START	1683839998842	1683839998842
USER	Usuario Estandar	409	START	1683839998842	1683839998842
USER	Usuario Estandar	408	START	1683839998842	1683839998842
USER	Usuario Estandar	410	START	1683839998842	1683839998842
USER	Usuario Estandar	411	START	1683839998842	1683839998842
USER	Usuario Estandar	405	START	1683839998842	1683839998842
USER	Usuario Estandar	406	START	1683839998842	1683839998842
USER	Usuario Estandar	407	START	1683839998842	1683839998842
USER	Usuario Estandar	414	START	1683839998842	1683839998842
USER	Usuario Estandar	412	START	1683839998842	1683839998842
USER	Usuario Estandar	415	START	1683839998842	1683839998842
USER	Usuario Estandar	418	START	1683839998843	1683839998843
USER	Usuario Estandar	416	START	1683839998842	1683839998842
USER	Usuario Estandar	413	START	1683839998842	1683839998842
USER	Usuario Estandar	419	START	1683839998843	1683839998843
USER	Usuario Estandar	420	START	1683839998843	1683839998843
USER	Usuario Estandar	422	START	1683839998843	1683839998843
USER	Usuario Estandar	421	START	1683839998843	1683839998843
USER	Usuario Estandar	423	START	1683839998843	1683839998843
USER	Usuario Estandar	424	START	1683839998843	1683839998843
USER	Usuario Estandar	425	START	1683839998843	1683839998843
USER	Usuario Estandar	426	START	1683839998843	1683839998843
USER	Usuario Estandar	427	START	1683839998843	1683839998843
USER	Usuario Estandar	428	START	1683839998843	1683839998843
USER	Usuario Estandar	417	START	1683839998842	1683839998842
USER	Usuario Estandar	430	START	1683839998843	1683839998843
USER	Usuario Estandar	431	START	1683839998843	1683839998843
USER	Usuario Estandar	429	START	1683839998843	1683839998843
USER	Usuario Estandar	432	START	1683839998843	1683839998843
USER	Usuario Estandar	433	START	1683839998843	1683839998843
USER	Usuario Estandar	434	START	1683839998844	1683839998844
USER	Usuario Estandar	435	START	1683839998844	1683839998844
USER	Usuario Estandar	436	START	1683839998844	1683839998844
USER	Usuario Estandar	437	START	1683839998844	1683839998844
USER	Usuario Estandar	438	START	1683839998844	1683839998844
USER	Usuario Estandar	439	START	1683839998844	1683839998844
USER	Usuario Estandar	440	START	1683839998844	1683839998844
USER	Usuario Estandar	441	START	1683839998844	1683839998844
USER	Usuario Estandar	442	START	1683839998844	1683839998844
USER	Usuario Estandar	8	START	1683839998726	1683839998726
USER	Usuario Estandar	444	START	1683839998844	1683839998844
USER	Usuario Estandar	443	START	1683839998844	1683839998844
USER	Usuario Estandar	445	START	1683839998844	1683839998844
USER	Usuario Estandar	446	START	1683839998844	1683839998844
USER	Usuario Estandar	448	START	1683839998844	1683839998844
USER	Usuario Estandar	449	START	1683839998844	1683839998844
USER	Usuario Estandar	450	START	1683839998844	1683839998844
USER	Usuario Estandar	451	START	1683839998844	1683839998844
USER	Usuario Estandar	452	START	1683839998844	1683839998844
USER	Usuario Estandar	453	START	1683839998844	1683839998844
USER	Usuario Estandar	454	START	1683839998844	1683839998844
USER	Usuario Estandar	455	START	1683839998844	1683839998844
USER	Usuario Estandar	24	START	1683839998762	1683839998762
USER	Usuario Estandar	456	START	1683839998844	1683839998844
USER	Usuario Estandar	457	START	1683839998845	1683839998845
USER	Usuario Estandar	1	START	1683839998725	1683839998725
USER	Usuario Estandar	460	START	1683839998845	1683839998845
USER	Usuario Estandar	462	START	1683839998845	1683839998845
USER	Usuario Estandar	464	START	1683839998845	1683839998845
USER	Usuario Estandar	465	START	1683839998845	1683839998845
USER	Usuario Estandar	459	START	1683839998845	1683839998845
USER	Usuario Estandar	463	START	1683839998845	1683839998845
USER	Usuario Estandar	466	START	1683839998845	1683839998845
USER	Usuario Estandar	467	START	1683839998845	1683839998845
USER	Usuario Estandar	468	START	1683839998845	1683839998845
USER	Usuario Estandar	470	START	1683839998845	1683839998845
USER	Usuario Estandar	469	START	1683839998845	1683839998845
USER	Usuario Estandar	471	START	1683839998845	1683839998845
USER	Usuario Estandar	472	START	1683839998845	1683839998845
USER	Usuario Estandar	473	START	1683839998845	1683839998845
USER	Usuario Estandar	474	START	1683839998845	1683839998845
USER	Usuario Estandar	475	START	1683839998845	1683839998845
USER	Usuario Estandar	476	START	1683839998845	1683839998845
USER	Usuario Estandar	477	START	1683839998846	1683839998846
USER	Usuario Estandar	478	START	1683839998846	1683839998846
USER	Usuario Estandar	479	START	1683839998846	1683839998846
USER	Usuario Estandar	480	START	1683839998846	1683839998846
USER	Usuario Estandar	481	START	1683839998846	1683839998846
USER	Usuario Estandar	484	START	1683839998846	1683839998846
USER	Usuario Estandar	483	START	1683839998846	1683839998846
USER	Usuario Estandar	13	START	1683839998731	1683839998731
USER	Usuario Estandar	485	START	1683839998846	1683839998846
USER	Usuario Estandar	486	START	1683839998846	1683839998846
USER	Usuario Estandar	487	START	1683839998846	1683839998846
USER	Usuario Estandar	489	START	1683839998846	1683839998846
USER	Usuario Estandar	488	START	1683839998846	1683839998846
USER	Usuario Estandar	491	START	1683839998846	1683839998846
USER	Usuario Estandar	490	START	1683839998846	1683839998846
USER	Usuario Estandar	492	START	1683839998846	1683839998846
USER	Usuario Estandar	493	START	1683839998846	1683839998846
USER	Usuario Estandar	494	START	1683839998846	1683839998846
USER	Usuario Estandar	495	START	1683839998846	1683839998846
USER	Usuario Estandar	496	START	1683839998846	1683839998846
USER	Usuario Estandar	497	START	1683839998847	1683839998847
USER	Usuario Estandar	500	START	1683839998847	1683839998847
USER	Usuario Estandar	498	START	1683839998847	1683839998847
USER	Usuario Estandar	499	START	1683839998847	1683839998847
USER	Usuario Estandar	502	START	1683839998847	1683839998847
USER	Usuario Estandar	501	START	1683839998847	1683839998847
USER	Usuario Estandar	503	START	1683839998847	1683839998847
USER	Usuario Estandar	504	START	1683839998847	1683839998847
USER	Usuario Estandar	18	START	1683839998733	1683839998733
USER	Usuario Estandar	505	START	1683839998847	1683839998847
USER	Usuario Estandar	17	START	1683839998733	1683839998733
USER	Usuario Estandar	506	START	1683839998847	1683839998847
USER	Usuario Estandar	508	START	1683839998847	1683839998847
